x_coord [mm],y_coord [mm],pow1_mean,pow2_mean,inc_ang_sim_deg,rssd_sim_db,scenario,rssd_guide_interp_db,delta_db
3750,250,9.81978843562191e-07,5.120239546036296e-07,3.8140748342903543,2.8281185159647535,C,7.575187375737495,-4.7470688597727415
3750,750,8.770067033453852e-07,6.303529639312017e-07,11.309932474020213,1.4341911364595745,C,5.380585067981628,-3.9463939315220538
3750,1250,2.620117199208361e-06,1.7303687652061435e-06,18.43494882292201,1.801820508974643,C,2.790945594673695,-0.9891250856990519
3750,1750,1.2008879834532926e-06,9.72046299509019e-07,25.016893478100023,0.918155478422392,C,0.09001726630177777,0.8281382121206142
4500,-1750,1.353335631199521e-06,8.633232735551745e-07,-21.25050550713324,1.9523206743577148,C,10.52841964881827,-8.576098974460555
4500,-1250,4.4372395472854913e-07,2.9509082650225915e-07,-15.524110996754258,1.7715716623803672,C,10.443270801618599,-8.671699139238232
4500,-750,3.6336402865179793e-07,3.587338247603098e-07,-9.462322208025617,0.05569604038664977,C,9.976673387273337,-9.920977346886687
4500,-250,1.8075646751678812e-07,3.351967055159463e-07,-3.1798301198642345,-2.68205896089529,C,9.077320611745527,-11.759379572640817
4500,250,3.1949146257042123e-07,2.79996100662872e-07,3.1798301198642345,0.5730727423471791,C,7.732337629499107,-7.159264887151928
4500,750,2.1756422735375346e-06,1.5240412005998004e-06,9.462322208025617,1.5459078094295862,C,5.975585426145386,-4.4296776167158
4500,1250,1.5593621254291816e-06,1.610867937532411e-06,15.524110996754258,-0.14112955819407347,C,3.9011952024490912,-4.042324760643165
4500,1750,1.13360196904935e-06,5.627296504750588e-07,21.25050550713324,3.0416079267706237,C,1.6611365829967728,1.380471343773851
5250,-1750,5.80133458594527e-07,3.3871399982161025e-07,-18.43494882292201,2.336947662765894,C,10.529141751250947,-8.192194088485053
5250,-1250,3.583314105000927e-07,5.837631818369819e-07,-13.392497753751098,-2.1195182131830705,C,10.323649833587382,-12.443168046770452
5250,-750,5.704804460988477e-07,4.485835115373203e-07,-8.13010235415598,1.0439745674973508,C,9.82297662400389,-8.779002056506538
5250,-250,3.067988729140064e-07,2.735709445181417e-07,-2.7263109939062655,0.4978378995829047,C,8.995802723988149,-8.497964824405244
5250,250,1.9345395359591536e-07,1.0336738186516142e-06,2.7263109939062655,-7.278059066361152,C,7.842658167683692,-15.120717234044843
5250,750,1.8147932221708897e-06,1.2077539705183473e-06,8.13010235415598,1.7684867469469978,C,6.384323426993713,-4.615836680046715
5250,1250,5.741704168434311e-07,4.2794415632177394e-07,13.392497753751098,1.27653712090747,C,4.669852697871307,-3.393315576963837
5250,1750,2.2928562247244174e-06,4.1046423207291136e-07,18.43494882292201,7.471015042164119,C,2.790945594673695,4.680069447490424
